Data;Dolar,
08/09/2020;5,3698
09/09/2020;5,3024
10/09/2020;5,2936
11/09/2020;5,2854
14/09/2020;5,2984
15/09/2020;5,2728
16/09/2020;5,2532
17/09/2020;5,2593
18/09/2020;5,2889
21/09/2020;5,4440
22/09/2020;5,4329
23/09/2020;5,5311
24/09/2020;5,5714
25/09/2020;5,5667
28/09/2020;5,5858
29/09/2020;5,6528
30/09/2020;5,6407
01/10/2020;5,6441
02/10/2020;5,6464
05/10/2020;5,6299
06/10/2020;5,5205
07/10/2020;5,6018
08/10/2020;5,6200
09/10/2020;5,5393
13/10/2020;5,5859
14/10/2020;5,5675
15/10/2020;5,6172
16/10/2020;5,6226
19/10/2020;5,6023
20/10/2020;5,5830
21/10/2020;5,6006
22/10/2020;5,5820
23/10/2020;5,6120
26/10/2020;5,6328
27/10/2020;5,6491
28/10/2020;5,7325
29/10/2020;5,7803
30/10/2020;5,7718
03/11/2020;5,6895
04/11/2020;5,6932
05/11/2020;5,5624
06/11/2020;5,5313
09/11/2020;5,2821
10/11/2020;5,3696
11/11/2020;5,4020
12/11/2020;5,4094
13/11/2020;5,4854
16/11/2020;5,4198
17/11/2020;5,3968
18/11/2020;5,2932
19/11/2020;5,3330
20/11/2020;5,3505
23/11/2020;5,3828
24/11/2020;5,4037
25/11/2020;5,3508
26/11/2020;5,3201
27/11/2020;5,3494
30/11/2020;5,3317
01/12/2020;5,2789
02/12/2020;5,2267
03/12/2020;5,1625
04/12/2020;5,1706
07/12/2020;5,1018
08/12/2020;5,920
09/12/2020;5,1109
10/12/2020;5,852
11/12/2020;5,691
14/12/2020;5,578
15/12/2020;5,968
16/12/2020;5,1057
17/12/2020;5,612
18/12/2020;5,986
21/12/2020;5,1572
22/12/2020;5,1473
23/12/2020;5,1740
24/12/2020;5,1800
28/12/2020;5,2390
29/12/2020;5,1942
30/12/2020;5,1967
31/12/2020;5,1967
04/01/2021;5,1626
05/01/2021;5,3269
06/01/2021;5,3182
07/01/2021;5,3433
08/01/2021;5,3683
11/01/2021;5,4966
12/01/2021;5,4637
13/01/2021;5,3070
14/01/2021;5,2617
15/01/2021;5,2714
18/01/2021;5,2788
19/01/2021;5,2945
20/01/2021;5,3033
21/01/2021;5,3166
22/01/2021;5,4301
25/01/2021;5,5089
26/01/2021;5,3865
27/01/2021;5,3824
28/01/2021;5,4282
29/01/2021;5,4759
