"Date","Price","Open","High","Low","Vol.","Change %"
"04/17/2024","1,844.00","1,844.00","1,844.00","1,844.00","","3.65%"
"04/16/2024","1,779.00","1,779.00","1,779.00","1,779.00","","2.83%"
"04/15/2024","1,730.00","1,730.00","1,730.00","1,730.00","","0.06%"
"04/12/2024","1,729.00","1,729.00","1,729.00","1,729.00","","2.31%"
"04/11/2024","1,690.00","1,690.00","1,690.00","1,690.00","","6.49%"
"04/10/2024","1,587.00","1,587.00","1,587.00","1,587.00","","1.08%"
"04/09/2024","1,570.00","1,570.00","1,570.00","1,570.00","","-1.51%"
"04/08/2024","1,594.00","1,594.00","1,594.00","1,594.00","","-2.09%"
"04/05/2024","1,628.00","1,628.00","1,628.00","1,628.00","","-2.46%"
"04/04/2024","1,669.00","1,669.00","1,669.00","1,669.00","","-2.45%"
"04/03/2024","1,711.00","1,711.00","1,711.00","1,711.00","","-0.18%"
"04/02/2024","1,714.00","1,714.00","1,714.00","1,714.00","","-5.88%"
"03/28/2024","1,821.00","1,821.00","1,821.00","1,821.00","","-1.30%"
"03/27/2024","1,845.00","1,845.00","1,845.00","1,845.00","","-7.24%"
"03/26/2024","1,989.00","1,989.00","1,989.00","1,989.00","","-6.31%"
"03/25/2024","2,123.00","2,123.00","2,123.00","2,123.00","","-3.32%"
"03/22/2024","2,196.00","2,196.00","2,196.00","2,196.00","","-1.96%"
"03/21/2024","2,240.00","2,240.00","2,240.00","2,240.00","","-1.93%"
"03/20/2024","2,284.00","2,284.00","2,284.00","2,284.00","","-4.52%"
"03/19/2024","2,392.00","2,392.00","2,392.00","2,392.00","","-1.12%"
"03/18/2024","2,419.00","2,419.00","2,419.00","2,419.00","","1.90%"
"03/15/2024","2,374.00","2,374.00","2,374.00","2,374.00","","1.02%"
"03/14/2024","2,350.00","2,350.00","2,350.00","2,350.00","","-0.84%"
"03/13/2024","2,370.00","2,370.00","2,370.00","2,370.00","","2.38%"
"03/12/2024","2,315.00","2,315.00","2,315.00","2,315.00","","-2.61%"
"03/11/2024","2,377.00","2,377.00","2,377.00","2,377.00","","1.36%"
"03/08/2024","2,345.00","2,345.00","2,345.00","2,345.00","","4.18%"
"03/07/2024","2,251.00","2,251.00","2,251.00","2,251.00","","3.45%"
"03/06/2024","2,176.00","2,176.00","2,176.00","2,176.00","","-5.02%"
