Data;Selic - % a.d.,
03/08/2021;0,16137
04/08/2021;0,16137
05/08/2021;0,19930
06/08/2021;0,19930
09/08/2021;0,19930
10/08/2021;0,19930
11/08/2021;0,19930
12/08/2021;0,19930
13/08/2021;0,19930
16/08/2021;0,19930
17/08/2021;0,19930
18/08/2021;0,19930
19/08/2021;0,19930
20/08/2021;0,19930
23/08/2021;0,19930
24/08/2021;0,19930
25/08/2021;0,19930
26/08/2021;0,19930
27/08/2021;0,19930
30/08/2021;0,19930
31/08/2021;0,19930
01/09/2021;0,19930
02/09/2021;0,19930
03/09/2021;0,19930
06/09/2021;0,19930
08/09/2021;0,19930
09/09/2021;0,19930
10/09/2021;0,19930
13/09/2021;0,19930
14/09/2021;0,19930
15/09/2021;0,19930
16/09/2021;0,19930
17/09/2021;0,19930
20/09/2021;0,19930
21/09/2021;0,19930
22/09/2021;0,19930
23/09/2021;0,23687
24/09/2021;0,23687
27/09/2021;0,23687
28/09/2021;0,23687
29/09/2021;0,23687
30/09/2021;0,23687
01/10/2021;0,23687
04/10/2021;0,23687
05/10/2021;0,23687
06/10/2021;0,23687
07/10/2021;0,23687
08/10/2021;0,23687
11/10/2021;0,23687
13/10/2021;0,23687
14/10/2021;0,23687
15/10/2021;0,23687
18/10/2021;0,23687
19/10/2021;0,23687
20/10/2021;0,23687
21/10/2021;0,23687
22/10/2021;0,23687
25/10/2021;0,23687
26/10/2021;0,23687
27/10/2021;0,23687
28/10/2021;0,29256
29/10/2021;0,29256
01/11/2021;0,29256
03/11/2021;0,29256
04/11/2021;0,29256
05/11/2021;0,29256
08/11/2021;0,29256
09/11/2021;0,29256
10/11/2021;0,29256
11/11/2021;0,29256
12/11/2021;0,29256
16/11/2021;0,29256
17/11/2021;0,29256
18/11/2021;0,29256
19/11/2021;0,29256
22/11/2021;0,29256
23/11/2021;0,29256
24/11/2021;0,29256
25/11/2021;0,29256
26/11/2021;0,29256
29/11/2021;0,29256
30/11/2021;0,29256
01/12/2021;0,29256
02/12/2021;0,29256
03/12/2021;0,29256
06/12/2021;0,29256
07/12/2021;0,29256
08/12/2021;0,29256
09/12/2021;0,34749
10/12/2021;0,34749
13/12/2021;0,34749
14/12/2021;0,34749
15/12/2021;0,34749
16/12/2021;0,34749
17/12/2021;0,34749
20/12/2021;0,34749
21/12/2021;0,34749
22/12/2021;0,34749
23/12/2021;0,34749
24/12/2021;0,34749
27/12/2021;0,34749
28/12/2021;0,34749
29/12/2021;0,34749
30/12/2021;0,34749
31/12/2021;0,34749
03/01/2022;0,34749
04/01/2022;0,34749
05/01/2022;0,34749
06/01/2022;0,34749
07/01/2022;0,34749
10/01/2022;0,34749
11/01/2022;0,34749
12/01/2022;0,34749
13/01/2022;0,34749
14/01/2022;0,34749
17/01/2022;0,34749
18/01/2022;0,34749
19/01/2022;0,34749
20/01/2022;0,34749
21/01/2022;0,34749
24/01/2022;0,34749
25/01/2022;0,34749
26/01/2022;0,34749
27/01/2022;0,34749
28/01/2022;0,34749
31/01/2022;0,34749
01/02/2022;0,34749
02/02/2022;0,34749
03/02/2022;0,40168
04/02/2022;0,40168
07/02/2022;0,40168
08/02/2022;0,40168
09/02/2022;0,40168
10/02/2022;0,40168
11/02/2022;0,40168
14/02/2022;0,40168
15/02/2022;0,40168
16/02/2022;0,40168
17/02/2022;0,40168
18/02/2022;0,40168
21/02/2022;0,40168
22/02/2022;0,40168
23/02/2022;0,40168
24/02/2022;0,40168
25/02/2022;0,40168
02/03/2022;0,40168
03/03/2022;0,40168
04/03/2022;0,40168
07/03/2022;0,40168
08/03/2022;0,40168
09/03/2022;0,40168
10/03/2022;0,40168
11/03/2022;0,40168
14/03/2022;0,40168
15/03/2022;0,40168
16/03/2022;0,40168
17/03/2022;0,43739
18/03/2022;0,43739
21/03/2022;0,43739
22/03/2022;0,43739
23/03/2022;0,43739
24/03/2022;0,43739
25/03/2022;0,43739
28/03/2022;0,43739
29/03/2022;0,43739
30/03/2022;0,43739
31/03/2022;0,43739
01/04/2022;0,43739
04/04/2022;0,43739
05/04/2022;0,43739
06/04/2022;0,43739
07/04/2022;0,43739
08/04/2022;0,43739
11/04/2022;0,43739
12/04/2022;0,43739
13/04/2022;0,43739
14/04/2022;0,43739
18/04/2022;0,43739
19/04/2022;0,43739
20/04/2022;0,43739
22/04/2022;0,43739
25/04/2022;0,43739
26/04/2022;0,43739
27/04/2022;0,43739
28/04/2022;0,43739
29/04/2022;0,43739
02/05/2022;0,43739
03/05/2022;0,43739
04/05/2022;0,43739
05/05/2022;0,47279
06/05/2022;0,47279
09/05/2022;0,47279
10/05/2022;0,47279
11/05/2022;0,47279
12/05/2022;0,47279
13/05/2022;0,47279
16/05/2022;0,47279
17/05/2022;0,47279
18/05/2022;0,47279
19/05/2022;0,47279
20/05/2022;0,47279
23/05/2022;0,47279
24/05/2022;0,47279
25/05/2022;0,47279
26/05/2022;0,47279
27/05/2022;0,47279
30/05/2022;0,47279
31/05/2022;0,47279
01/06/2022;0,47279
02/06/2022;0,47279
03/06/2022;0,47279
06/06/2022;0,47279
07/06/2022;0,47279
08/06/2022;0,47279
09/06/2022;0,47279
10/06/2022;0,47279
13/06/2022;0,47279
14/06/2022;0,47279
15/06/2022;0,47279
17/06/2022;0,49037
20/06/2022;0,49037
21/06/2022;0,49037
22/06/2022;0,49037
23/06/2022;0,49037
24/06/2022;0,49037
27/06/2022;0,49037
28/06/2022;0,49037
29/06/2022;0,49037
30/06/2022;0,49037
01/07/2022;0,49037
04/07/2022;0,49037
05/07/2022;0,49037
06/07/2022;0,49037
07/07/2022;0,49037
08/07/2022;0,49037
11/07/2022;0,49037
12/07/2022;0,49037
13/07/2022;0,49037
14/07/2022;0,49037
15/07/2022;0,49037
18/07/2022;0,49037
19/07/2022;0,49037
20/07/2022;0,49037
21/07/2022;0,49037
22/07/2022;0,49037
25/07/2022;0,49037
26/07/2022;0,49037
27/07/2022;0,49037
28/07/2022;0,49037
29/07/2022;0,49037
01/08/2022;0,49037
02/08/2022;0,49037
03/08/2022;0,49037
04/08/2022;0,50788
05/08/2022;0,50788
08/08/2022;0,50788
09/08/2022;0,50788
10/08/2022;0,50788
11/08/2022;0,50788
12/08/2022;0,50788
